task_idx,task_id,subtask_idx,is_final,subtask_description,n_steps,n_errors,n_api_calls,n_readonly_calls,n_unique_api_fqs,step_of_first_complete_task,n_complete_task_calls,chars_assistant,chars_output,final_score,final_success
6,530b157_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
6,530b157_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
6,530b157_1,3,True,"Kristin paid for my grocery recently as my payment cards were not working at the time. Send them the owed money with a description note ""Groceries"" as per my phone text conversation, and then send them a phone text message, ""It is done."".",21,0,21,16,12,20,1,3087,48539,1.0,1.0
7,530b157_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2812,3299,,
7,530b157_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
7,530b157_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
7,530b157_2,3,True,"Joseph paid for my grocery recently as my payment cards were not working at the time. Send them the owed money with a description note ""Grocery Bill"" as per my phone text conversation, and then send them a phone text message, ""Done."".",22,0,21,16,11,21,1,3256,52524,1.0,1.0
8,530b157_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
8,530b157_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
8,530b157_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
8,530b157_3,3,True,"Robert paid for my grocery recently as my payment cards were not working at the time. Send them the owed money with a description note ""Thanks for the groceries!"" as per my phone text conversation, and then send them a phone text message, ""Done. Thanks!"".",19,0,18,13,10,18,1,2906,34737,1.0,1.0
9,4ec8de5_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
9,4ec8de5_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
9,4ec8de5_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
9,4ec8de5_1,3,True,How many songs from across my spotify song and album libraries were released in this or last year?,10,0,15,13,8,9,1,3165,18713,1.0,1.0
10,4ec8de5_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2809,3299,,
10,4ec8de5_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
10,4ec8de5_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
10,4ec8de5_2,3,True,How many songs from across my spotify song and album libraries were released in this year?,8,0,13,11,8,7,1,2619,20283,1.0,1.0
11,4ec8de5_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
11,4ec8de5_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
11,4ec8de5_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
11,4ec8de5_3,3,True,How many songs from across my spotify song and album libraries were released before this year?,8,0,16,14,8,7,1,2940,17158,0.5,0.0
12,b119b1f_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
12,b119b1f_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
12,b119b1f_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
12,b119b1f_1,3,True,Keep going to the previous song on Spotify until you reach a song by Luna Starlight.,11,0,13,10,7,10,1,1722,14609,1.0,1.0
13,b119b1f_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
13,b119b1f_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
13,b119b1f_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
13,b119b1f_2,3,True,Keep going to the next song on Spotify until you reach a song by Lily Moon.,9,0,15,12,8,8,1,2117,16222,1.0,1.0
14,b119b1f_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2807,3299,,
14,b119b1f_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
14,b119b1f_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
14,b119b1f_3,3,True,Keep going to the previous song on Spotify until you reach a song by Silent Thunder.,9,0,15,12,8,8,1,2225,15409,1.0,1.0
15,d4e9306_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
15,d4e9306_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
15,d4e9306_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
15,d4e9306_1,3,True,Follow artists of all the songs and albums I have ever liked on Spotify.,9,0,17,14,9,8,1,3256,19372,1.0,1.0
16,d4e9306_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
16,d4e9306_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
16,d4e9306_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
16,d4e9306_2,3,True,Follow artists of all the songs and albums I have ever liked on Spotify.,7,0,15,12,8,6,1,3220,8785,1.0,1.0
17,d4e9306_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2810,3299,,
17,d4e9306_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
17,d4e9306_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
17,d4e9306_3,3,True,Follow artists of all the songs and albums I have ever liked on Spotify.,6,0,15,12,8,5,1,3485,9045,1.0,1.0
18,0d8a4ee_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
18,0d8a4ee_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
18,0d8a4ee_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
18,0d8a4ee_1,3,True,"Send the following phone message to my parents and siblings, who do not have a venmo account, ""Please get on venmo."".",16,0,15,11,9,15,1,2833,33340,1.0,1.0
19,0d8a4ee_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2809,3299,,
19,0d8a4ee_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
19,0d8a4ee_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
19,0d8a4ee_2,3,True,"Send the following phone message to my siblings and roommates, who do not have a venmo account, ""Get on venmo please!"".",11,0,20,16,9,10,1,3398,42953,1.0,1.0
20,0d8a4ee_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2807,3299,,
20,0d8a4ee_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
20,0d8a4ee_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
20,0d8a4ee_3,3,True,"Send the following phone message to my roommates and friends, who do not have a venmo account, ""Make an account on venmo please."".",10,0,15,11,8,9,1,3280,33148,1.0,1.0
21,37a8675_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
21,37a8675_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
21,37a8675_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
21,37a8675_1,3,True,Send $91 privately on Venmo to the person with this phone number 2192158297.,11,2,22,16,11,10,1,3271,58679,1.0,1.0
22,37a8675_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2811,3299,,
22,37a8675_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
22,37a8675_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
22,37a8675_2,3,True,Send $100 publicly on Venmo to the person with this phone number 5734599766.,15,1,17,13,10,14,1,2783,48022,0.16666666666666666,0.0
23,37a8675_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
23,37a8675_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
23,37a8675_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
23,37a8675_3,3,True,Send $68 privately on Venmo to the person with this phone number 2114992604.,23,1,20,15,10,22,1,3442,55680,1.0,1.0
24,3ab5b8b_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2807,3299,,
24,3ab5b8b_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
24,3ab5b8b_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
24,3ab5b8b_1,3,True,Download all the songs from my Spotify playlists that I have liked.,10,0,21,18,9,9,1,3869,22129,1.0,1.0
25,3ab5b8b_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
25,3ab5b8b_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
25,3ab5b8b_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
25,3ab5b8b_2,3,True,Download all the songs from my Spotify song library that I have liked.,14,0,14,11,8,13,1,2619,27029,0.6666666666666666,0.0
26,3ab5b8b_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
26,3ab5b8b_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
26,3ab5b8b_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
26,3ab5b8b_3,3,True,Download all the songs from my Spotify album library that I have liked.,12,1,17,13,9,11,1,3774,19242,1.0,1.0
27,df61dc5_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
27,df61dc5_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
27,df61dc5_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
27,df61dc5_1,3,True,Like all the venmo transactions of the ongoing year to and from my roommates.,22,0,20,17,11,21,1,3010,40339,0.8571428571428571,0.0
28,df61dc5_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
28,df61dc5_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
28,df61dc5_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
28,df61dc5_2,3,True,Like all the venmo transactions of the ongoing month to and from my friends.,8,0,14,10,8,7,1,3035,27399,0.8571428571428571,0.0
29,df61dc5_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2807,3299,,
29,df61dc5_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
29,df61dc5_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
29,df61dc5_3,3,True,Like all the venmo transactions of the ongoing year to and from my coworkers.,13,0,23,19,10,12,1,4250,45431,0.8571428571428571,0.0
30,383cbac_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2812,3299,,
30,383cbac_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
30,383cbac_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
30,383cbac_1,3,True,"I went on dinner with my coworkers yesterday at Azure Harbor Bistro. My manager paid for food and everyone venmoed them. Everyones' transactions except mine should be on my social feed. My share was $38. How much did my manager pay for the others, including me, yesterday?",11,0,9,7,6,10,1,1308,32122,1.0,1.0
31,383cbac_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
31,383cbac_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
31,383cbac_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
31,383cbac_2,3,True,"I went on lunch with my coworkers yesterday at Enchanted Eats. My manager paid for food and everyone venmoed them. Everyones' transactions except mine should be on my social feed. My share was $20. How much did my manager pay for the others, including me, yesterday?",13,0,11,9,6,12,1,1963,27685,1.0,1.0
32,383cbac_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
32,383cbac_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
32,383cbac_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
32,383cbac_3,3,True,"I went on dinner with my coworkers yesterday at Whimsical Bites. My manager paid for food and everyone venmoed them. Everyones' transactions except mine should be on my social feed. My share was $34. How much did my manager pay for the others, including me, yesterday?",10,0,10,8,6,9,1,1459,12960,0.5,0.0
33,23cf851_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
33,23cf851_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
33,23cf851_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
33,23cf851_1,3,True,"How many likes did all Venmo transactions, I sent this month, have in total?",10,0,10,8,6,9,1,1470,14395,1.0,1.0
34,23cf851_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
34,23cf851_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
34,23cf851_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
34,23cf851_2,3,True,"How many likes did all Venmo transactions, I received this year, have in total?",7,0,11,9,7,6,1,1468,16176,0.5,0.0
35,23cf851_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
35,23cf851_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
35,23cf851_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
35,23cf851_3,3,True,"How many likes did all Venmo transactions, I sent or received this month, have in total?",7,0,8,6,5,6,1,1602,7666,1.0,1.0
36,57c3486_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
36,57c3486_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
36,57c3486_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
36,57c3486_1,3,True,Like all the songs from the artists I follow on Spotify.,16,0,17,14,9,15,1,3193,20783,1.0,1.0
37,57c3486_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2810,3299,,
37,57c3486_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
37,57c3486_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
37,57c3486_2,3,True,Like all the songs from the artists I follow on Spotify.,9,0,15,12,8,8,1,3161,12789,1.0,1.0
38,57c3486_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
38,57c3486_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
38,57c3486_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
38,57c3486_3,3,True,Like all the songs from the artists I follow on Spotify.,8,0,16,13,8,7,1,3744,10692,1.0,1.0
39,68ee2c9_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
39,68ee2c9_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
39,68ee2c9_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
39,68ee2c9_1,3,True,"In my file system, add the prefix ""YYYY-MM-DD_"" to all file names in the ~/downloads/ directory, based on their creation dates, and then move all files not from this year to ~/trash/.",13,0,19,15,9,12,1,4210,21265,1.0,1.0
40,68ee2c9_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
40,68ee2c9_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
40,68ee2c9_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
40,68ee2c9_2,3,True,"In my file system, add the prefix ""YYYY_MM_DD-"" to all file names in the ~/downloaded_files/ directory, based on their creation dates, and then move all files not from this year to ~/recycle_bin/.",7,0,17,13,8,6,1,4300,13861,1.0,1.0
41,68ee2c9_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
41,68ee2c9_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
41,68ee2c9_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
41,68ee2c9_3,3,True,"In my file system, add the prefix ""YYYY_MM_DD_"" to all file names in the ~/my_downloads/ directory, based on their creation dates, and then move all files not from this year to ~/archive/.",9,0,17,13,8,8,1,4220,13700,1.0,1.0
42,6bdbc26_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2812,3299,,
42,6bdbc26_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
42,6bdbc26_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
42,6bdbc26_1,3,True,How many people follow the artist of the currently playing song on Spotify?,5,0,10,8,6,4,1,1077,3904,1.0,1.0
43,6bdbc26_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
43,6bdbc26_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
43,6bdbc26_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
43,6bdbc26_2,3,True,How many people follow the artist of the currently playing song on Spotify?,6,0,10,8,6,5,1,1127,4462,1.0,1.0
44,6bdbc26_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2809,3299,,
44,6bdbc26_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
44,6bdbc26_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
44,6bdbc26_3,3,True,How many people follow the artist of the currently playing song on Spotify?,6,0,11,9,7,5,1,1168,13023,1.0,1.0
45,6171bbc_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
45,6171bbc_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
45,6171bbc_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
45,6171bbc_1,3,True,"Make me a Spotify playlist called ""My Most Played Album Songs"" containing only the most-played song from each album in my album library.",11,0,20,16,11,10,1,3372,20580,1.0,1.0
46,6171bbc_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2812,3299,,
46,6171bbc_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
46,6171bbc_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
46,6171bbc_2,3,True,"Make me a Spotify playlist called ""My Highest Rated Playlist Songs"" containing only the highest-rated song from each of my playlists.",9,0,17,13,9,8,1,3427,8926,1.0,1.0
47,6171bbc_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
47,6171bbc_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
47,6171bbc_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
47,6171bbc_3,3,True,"Make me a Spotify playlist called ""Most Listened Playlist Songs"" containing only the most-played song from each of my playlists.",9,0,18,14,9,8,1,3823,9887,1.0,1.0
48,6c2c621_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
48,6c2c621_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
48,6c2c621_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
48,6c2c621_1,3,True,"Export all my Simple Note notes to ""~/backups/simple_note/"" directory in my file system. The files should be named according to the note title, replacing white space with ""_"", and the extension should be "".md"".",12,0,24,18,12,11,1,3493,18564,1.0,1.0
49,6c2c621_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2811,3299,,
